学校名称,位置,院校隶属,是否有研究生院,是否自划线,是否双一流,图标链接,url
陆军装甲兵学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/91006.jpg,/sch/schoolInfo--schId-367836.dhtml
陆军航空兵学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/91008.jpg,/sch/schoolInfo--schId-688910089.dhtml
陆军防化学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/91011.jpg,/sch/schoolInfo--schId-367820.dhtml
空军指挥学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/91023.jpg,/sch/schoolInfo--schId-367826.dhtml
战略支援部队航天工程大学,,北京,1,1,0,https://t1.chei.com.cn/common/xh/91036.jpg,/sch/schoolInfo--schId-367824.dhtml
军事科学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/91101.jpg,/sch/schoolInfo--schId-367817.dhtml
解放军医学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/91102.jpg,/sch/schoolInfo--schId-367823.dhtml
南开大学,,天津,0,0,1,https://t1.chei.com.cn/common/xh/10055.jpg,/sch/schoolInfo--schId-367949.dhtml
天津大学,,天津,0,0,1,https://t1.chei.com.cn/common/xh/10056.jpg,/sch/schoolInfo--schId-367959.dhtml
天津科技大学,,天津,1,1,0,https://t1.chei.com.cn/common/xh/10057.jpg,/sch/schoolInfo--schId-367951.dhtml
天津工业大学,,天津,1,1,1,https://t1.chei.com.cn/common/xh/10058.jpg,/sch/schoolInfo--schId-367948.dhtml
中国民航大学,,天津,1,1,0,https://t1.chei.com.cn/common/xh/10059.jpg,/sch/schoolInfo--schId-367953.dhtml
天津理工大学,,天津,1,1,0,https://t1.chei.com.cn/common/xh/10060.jpg,/sch/schoolInfo--schId-367946.dhtml
天津农学院,,天津,1,1,0,https://t1.chei.com.cn/common/xh/10061.jpg,/sch/schoolInfo--schId-677414.dhtml
天津医科大学,,天津,1,1,1,https://t1.chei.com.cn/common/xh/10062.jpg,/sch/schoolInfo--schId-367938.dhtml
天津中医药大学,,天津,1,1,1,https://t1.chei.com.cn/common/xh/10063.jpg,/sch/schoolInfo--schId-367954.dhtml
天津师范大学,,天津,1,1,0,https://t1.chei.com.cn/common/xh/10065.jpg,/sch/schoolInfo--schId-367950.dhtml
天津职业技术师范大学,,天津,1,1,0,https://t1.chei.com.cn/common/xh/10066.jpg,/sch/schoolInfo--schId-367955.dhtml
天津外国语大学,,天津,1,1,0,https://t1.chei.com.cn/common/xh/10068.jpg,/sch/schoolInfo--schId-367956.dhtml
天津商业大学,,天津,1,1,0,https://t1.chei.com.cn/common/xh/10069.jpg,/sch/schoolInfo--schId-367957.dhtml
天津财经大学,,天津,1,1,0,https://t1.chei.com.cn/common/xh/10070.jpg,/sch/schoolInfo--schId-367958.dhtml
天津体育学院,,天津,1,1,0,https://t1.chei.com.cn/common/xh/10071.jpg,/sch/schoolInfo--schId-367952.dhtml
天津音乐学院,,天津,1,1,0,https://t1.chei.com.cn/common/xh/10072.jpg,/sch/schoolInfo--schId-367945.dhtml
天津美术学院,,天津,1,1,0,https://t1.chei.com.cn/common/xh/10073.jpg,/sch/schoolInfo--schId-367936.dhtml
天津城建大学,,天津,1,1,0,https://t1.chei.com.cn/common/xh/10792.jpg,/sch/schoolInfo--schId-367937.dhtml
天津中德应用技术大学,,天津,1,1,0,https://t1.chei.com.cn/common/xh/12105.jpg,/sch/schoolInfo--schId-2807892153.dhtml
中钢集团天津地质研究院有限公司,,天津,1,1,0,https://t1.chei.com.cn/common/xh/82608.jpg,/sch/schoolInfo--schId-367939.dhtml
核工业理化工程研究院,,天津,1,1,0,https://t1.chei.com.cn/common/xh/82804.jpg,/sch/schoolInfo--schId-367940.dhtml
航天科工集团三院8357所,,天津,1,1,0,https://t1.chei.com.cn/common/xh/83245.jpg,/sch/schoolInfo--schId-367941.dhtml
中国航天科工集团第三研究院第八三五八研究所,,天津,1,1,0,https://t1.chei.com.cn/common/xh/83246.jpg,/sch/schoolInfo--schId-367942.dhtml
国家海洋技术中心,,天津,1,1,0,https://t1.chei.com.cn/common/xh/85305.jpg,/sch/schoolInfo--schId-367943.dhtml
中国舰船研究院(天津航海仪器研究所),,天津,1,1,0,https://t1.chei.com.cn/common/xh/86211.jpg,/sch/schoolInfo--schId-367947.dhtml
陆军军事交通学院,,天津,1,1,0,https://t1.chei.com.cn/common/xh/91013.jpg,/sch/schoolInfo--schId-367944.dhtml
海军勤务学院,,天津,1,1,0,https://t1.chei.com.cn/common/xh/91021.jpg,/sch/schoolInfo--schId-1864277803.dhtml
武警指挥学院,,天津,1,1,0,https://t1.chei.com.cn/common/xh/91038.jpg,/sch/schoolInfo--schId-688912256.dhtml
武警后勤学院,,天津,1,1,0,https://t1.chei.com.cn/common/xh/91042.jpg,/sch/schoolInfo--schId-688912355.dhtml
河北大学,,河北,1,1,0,https://t1.chei.com.cn/common/xh/10075.jpg,/sch/schoolInfo--schId-367977.dhtml
河北工程大学,,河北,1,1,0,https://t1.chei.com.cn/common/xh/10076.jpg,/sch/schoolInfo--schId-367975.dhtml
河北地质大学,,河北,1,1,0,https://t1.chei.com.cn/common/xh/10077.jpg,/sch/schoolInfo--schId-367985.dhtml
华北电力大学(保定),,河北,1,1,1,https://t1.chei.com.cn/common/xh/10079.jpg,/sch/schoolInfo--schId-367976.dhtml
河北工业大学,,河北,1,1,1,https://t1.chei.com.cn/common/xh/10080.jpg,/sch/schoolInfo--schId-367972.dhtml
华北理工大学,,河北,1,1,0,https://t1.chei.com.cn/common/xh/10081.jpg,/sch/schoolInfo--schId-367978.dhtml
河北科技大学,,河北,1,1,0,https://t1.chei.com.cn/common/xh/10082.jpg,/sch/schoolInfo--schId-367979.dhtml
河北建筑工程学院,,河北,1,1,0,https://t1.chei.com.cn/common/xh/10084.jpg,/sch/schoolInfo--schId-688908263.dhtml
河北农业大学,,河北,1,1,0,https://t1.chei.com.cn/common/xh/10086.jpg,/sch/schoolInfo--schId-367968.dhtml
河北医科大学,,河北,1,1,0,https://t1.chei.com.cn/common/xh/10089.jpg,/sch/schoolInfo--schId-367961.dhtml
河北北方学院,,河北,1,1,0,https://t1.chei.com.cn/common/xh/10092.jpg,/sch/schoolInfo--schId-677436.dhtml
承德医学院,,河北,1,1,0,https://t1.chei.com.cn/common/xh/10093.jpg,/sch/schoolInfo--schId-367981.dhtml
河北师范大学,,河北,1,1,0,https://t1.chei.com.cn/common/xh/10094.jpg,/sch/schoolInfo--schId-367982.dhtml
石家庄铁道大学,,河北,1,1,0,https://t1.chei.com.cn/common/xh/10107.jpg,/sch/schoolInfo--schId-367983.dhtml
燕山大学,,河北,1,1,0,https://t1.chei.com.cn/common/xh/10216.jpg,/sch/schoolInfo--schId-367984.dhtml
河北科技师范学院,,河北,1,1,0,https://t1.chei.com.cn/common/xh/10798.jpg,/sch/schoolInfo--schId-678782.dhtml
华北科技学院,,河北,1,1,0,https://t1.chei.com.cn/common/xh/11104.jpg,/sch/schoolInfo--schId-302972737.dhtml
中国人民警察大学,,河北,1,1,0,https://t1.chei.com.cn/common/xh/11105.jpg,/sch/schoolInfo--schId-367974.dhtml
河北金融学院,,河北,1,1,0,https://t1.chei.com.cn/common/xh/11420.jpg,/sch/schoolInfo--schId-302974222.dhtml
北华航天工业学院,,河北,1,1,0,https://t1.chei.com.cn/common/xh/11629.jpg,/sch/schoolInfo--schId-302980326.dhtml
防灾科技学院,,河北,1,1,0,https://t1.chei.com.cn/common/xh/11775.jpg,/sch/schoolInfo--schId-499721317.dhtml
河北经贸大学,,河北,1,1,0,https://t1.chei.com.cn/common/xh/11832.jpg,/sch/schoolInfo--schId-367966.dhtml
中央司法警官学院,,河北,1,1,0,https://t1.chei.com.cn/common/xh/11903.jpg,/sch/schoolInfo--schId-499721040.dhtml
河北传媒学院,,河北,1,1,0,https://t1.chei.com.cn/common/xh/12784.jpg,/sch/schoolInfo--schId-302982030.dhtml
河北中医药大学,,河北,1,1,0,https://t1.chei.com.cn/common/xh/14432.jpg,/sch/schoolInfo--schId-1474556852.dhtml
